,X,y,Predict
158,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
159,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
160,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
161,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
162,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
163,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[68.0],62.85278
164,"[67.1878662109375, 67.1878662109375, 68.0]",[67.1878662109375],63.245846
165,"[67.1878662109375, 68.0, 67.1878662109375]",[67.1878662109375],63.1644
166,"[68.0, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.702618
167,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
168,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[67.1878662109375],62.85278
169,"[67.1878662109375, 67.1878662109375, 67.1878662109375]",[63.0],62.85278
170,"[67.1878662109375, 67.1878662109375, 63.0]",[62.90902328491211],61.00503
171,"[67.1878662109375, 63.0, 62.90902328491211]",[62.90902328491211],60.27341
172,"[63.0, 62.90902328491211, 62.90902328491211]",[62.90902328491211],59.9895
173,"[62.90902328491211, 62.90902328491211, 62.90902328491211]",[62.90902328491211],59.98434
174,"[62.90902328491211, 62.90902328491211, 62.90902328491211]",[62.90902328491211],59.98434
175,"[62.90902328491211, 62.90902328491211, 62.90902328491211]",[61.0],59.98434
176,"[62.90902328491211, 62.90902328491211, 61.0]",[62.40686798095703],59.240307
177,"[62.90902328491211, 61.0, 62.40686798095703]",[62.40686798095703],59.4356
178,"[61.0, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.1779
179,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.55253
180,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.55253
181,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[61.0],59.55253
182,"[62.40686798095703, 62.40686798095703, 61.0]",[62.40686798095703],59.103607
183,"[62.40686798095703, 61.0, 62.40686798095703]",[62.40686798095703],59.34447
184,"[61.0, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.1779
185,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.55253
186,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[62.40686798095703],59.55253
187,"[62.40686798095703, 62.40686798095703, 62.40686798095703]",[64.0],59.55253
